VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2020-04-01 00:44:02,2020-04-01 00:52:23,N,1,42,41,1,1.68,8,0.5,0.5,0,0,,0.3,9.3,1,1,0
2,2020-04-01 00:24:39,2020-04-01 00:33:06,N,1,244,247,2,1.94,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2020-04-01 00:45:06,2020-04-01 00:51:13,N,1,244,243,3,1.00,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2020-04-01 00:45:06,2020-04-01 01:04:39,N,1,244,243,2,2.81,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2020-04-01 00:00:23,2020-04-01 00:16:13,N,1,75,169,1,6.79,21,0.5,0.5,0,0,,0.3,22.3,1,1,0
2,2020-04-01 00:41:23,2020-04-01 00:56:35,N,1,41,233,1,5.04,16.5,0.5,0.5,0,0,,0.3,20.55,1,1,2.75
2,2020-04-01 00:00:52,2020-04-01 00:09:49,N,1,244,127,1,3.27,11.5,0.5,0.5,2,0,,0.3,14.8,1,1,0
2,2020-04-01 00:51:04,2020-04-01 00:57:25,N,1,244,42,1,1.48,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-04-01 00:46:02,2020-04-01 01:05:52,N,4,244,265,1,14.41,42.5,0.5,0.5,3,0,,0.3,46.8,1,1,0
1,2020-04-01 00:29:05,2020-04-01 00:46:09,N,1,25,71,1,3.60,14.5,0.5,0.5,4.2,0,,0.3,20,1,1,0
2,2020-04-01 00:18:32,2020-04-01 00:29:08,N,1,130,205,1,3.41,12,0.5,0.5,3.99,0,,0.3,17.29,1,1,0
2,2020-04-01 00:04:15,2020-04-01 00:23:24,N,1,82,264,1,2.98,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
1,2020-04-01 00:17:13,2020-04-01 00:48:09,N,1,61,55,1,.00,37.03,0,0.5,0,0,,0.3,37.83,1,1,0
2,2020-04-01 00:16:47,2020-04-01 00:28:21,N,1,74,69,1,2.80,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,2020-04-01 00:08:32,2020-04-01 00:15:19,N,1,41,152,1,1.56,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1,0
2,2020-04-01 01:57:04,2020-04-01 02:04:55,N,1,244,243,2,1.75,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2020-04-01 01:23:58,2020-04-01 01:27:27,N,1,166,166,1,.67,4.5,0.5,0.5,0,0,,0.3,5.8,1,1,0
2,2020-04-01 01:07:16,2020-04-01 01:09:22,N,1,244,244,2,.28,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
2,2020-04-01 01:57:31,2020-04-01 02:12:54,N,1,244,161,1,7.63,23,0.5,0.5,5.41,0,,0.3,32.46,1,1,2.75
1,2020-04-01 01:22:37,2020-04-01 01:52:55,N,1,35,108,1,7.30,26,0.5,0.5,0,0,,0.3,27.3,2,1,0
2,2020-04-01 01:05:59,2020-04-01 01:19:22,N,1,41,244,1,2.78,12,0.5,0.5,2,0,,0.3,15.3,1,1,0
2,2020-04-01 02:01:43,2020-04-01 02:07:33,N,1,159,42,1,1.50,7,0.5,0.5,0,0,,0.3,8.3,1,1,0
2,2020-04-01 02:12:24,2020-04-01 02:15:40,N,1,168,116,1,1.03,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-04-01 02:24:18,2020-04-01 02:35:50,N,1,168,31,1,6.66,20,0.5,0.5,0,0,,0.3,21.3,2,1,0
2,2020-04-01 02:17:44,2020-04-01 02:24:28,N,1,244,243,2,1.38,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-04-01 02:30:04,2020-04-01 02:44:22,N,1,244,18,2,4.47,15,0.5,0.5,0,0,,0.3,16.3,2,1,0
2,2020-04-01 02:48:17,2020-04-01 02:53:28,N,1,168,74,1,1.36,6.5,0.5,0.5,0,0,,0.3,7.8,1,1,0
2,2020-04-01 02:47:26,2020-04-01 03:01:20,N,1,152,262,1,5.21,17.5,0.5,0.5,0,0,,0.3,21.55,2,1,2.75
1,2020-04-01 02:05:43,2020-04-01 02:23:25,N,1,25,91,1,5.70,19,0.5,0.5,3,0,,0.3,23.3,1,1,0
2,2020-04-01 03:27:15,2020-04-01 03:32:24,N,1,244,244,2,.70,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-01 03:54:29,2020-04-01 04:12:13,N,1,244,244,2,2.96,14.5,0.5,0.5,0,0,,0.3,15.8,2,1,0
2,2020-04-01 03:34:09,2020-04-01 03:42:59,N,1,41,239,1,2.95,10.5,0.5,0.5,1,0,,0.3,15.55,1,1,2.75
2,2020-04-01 03:09:53,2020-04-01 03:11:41,N,1,75,74,1,.77,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-04-01 03:23:09,2020-04-01 03:25:41,N,1,152,116,1,.58,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-04-01 03:34:44,2020-04-01 03:38:49,N,1,243,119,2,.84,5,0.5,0.5,2,0,,0.3,8.3,1,1,0
2,2020-04-01 03:20:12,2020-04-01 03:25:09,N,1,47,247,1,.82,5.5,0.5,0.5,2.2,0,,0.3,9,1,1,0
2,2020-04-01 04:05:13,2020-04-01 04:08:25,N,1,74,41,1,.70,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2020-04-01 05:52:46,2020-04-01 05:59:17,N,1,41,74,1,1.14,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-04-01 05:28:31,2020-04-01 05:32:50,N,1,243,244,1,.97,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-01 05:51:15,2020-04-01 06:04:31,N,5,93,78,1,9.44,0.01,0,0,0,6.12,,0.3,6.43,2,2,0
2,2020-04-01 05:08:01,2020-04-01 05:16:20,N,1,152,244,1,2.10,8.5,0.5,0.5,1,0,,0.3,10.8,1,1,0
2,2020-04-01 05:30:28,2020-04-01 05:32:18,N,1,244,116,1,.73,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
1,2020-04-01 05:54:50,2020-04-01 05:58:35,N,1,74,41,1,.80,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-04-01 05:51:47,2020-04-01 07:08:14,N,1,155,136,1,24.63,80,0.5,0.5,0,0,,0.3,81.3,1,1,0
2,2020-04-01 05:45:36,2020-04-01 05:51:45,N,1,74,75,1,1.41,7,0.5,0.5,2.49,0,,0.3,10.79,1,1,0
2,2020-04-01 05:44:29,2020-04-01 05:48:33,N,1,74,166,1,.86,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-04-01 05:34:04,2020-04-01 05:51:05,N,1,75,126,6,4.80,17.5,0.5,0.5,0,0,,0.3,18.8,2,1,0
2,2020-04-01 05:43:54,2020-04-01 05:47:54,N,1,75,140,1,1.45,6,0.5,0.5,0,0,,0.3,10.05,2,1,2.75
1,2020-04-01 05:37:28,2020-04-01 06:20:01,N,1,85,215,1,.00,40.2,0,0.5,0,0,,0.3,41,1,1,0
2,2020-04-01 06:52:40,2020-04-01 07:16:34,N,1,159,197,1,13.40,38.5,0,0.5,0,6.12,,0.3,45.42,1,1,0
2,2020-04-01 06:32:04,2020-04-01 06:50:39,N,1,243,82,1,9.63,28,0,0.5,0,6.12,,0.3,34.92,2,1,0
2,2020-04-01 06:12:13,2020-04-01 06:20:32,N,1,75,41,1,1.71,8,0,0.5,0,0,,0.3,8.8,2,1,0
2,2020-04-01 06:56:22,2020-04-01 07:07:35,N,1,41,164,1,3.92,13,0,0.5,1,0,,0.3,17.55,1,1,2.75
2,2020-04-01 06:04:57,2020-04-01 06:33:13,N,1,78,197,1,15.24,43.5,0,0.5,0,6.12,,0.3,50.42,1,1,0
2,2020-04-01 06:13:55,2020-04-01 06:52:43,N,1,174,197,1,17.01,51.5,0,0.5,0,6.12,,0.3,58.42,1,1,0
2,2020-04-01 06:29:15,2020-04-01 06:45:43,N,1,7,234,1,5.27,17.5,0,0.5,4.21,0,,0.3,25.26,1,1,2.75
2,2020-04-01 06:44:08,2020-04-01 06:57:32,N,1,185,126,1,6.16,19,0,0.5,0,0,,0.3,19.8,2,1,0
2,2020-04-01 06:43:03,2020-04-01 06:51:09,N,1,116,151,1,2.29,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
2,2020-04-01 06:51:53,2020-04-01 07:00:34,N,1,42,41,1,1.74,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
1,2020-04-01 06:44:54,2020-04-01 06:53:27,N,1,74,75,1,1.50,8,0,0.5,1.75,0,,0.3,10.55,1,1,0
1,2020-04-01 06:55:58,2020-04-01 07:04:48,N,1,74,213,1,5.50,16,0,0.5,0,0,,0.3,16.8,2,1,0
2,2020-04-01 06:23:24,2020-04-01 07:04:15,N,1,69,197,1,14.62,48.5,0,0.5,0,6.12,,0.3,55.42,1,1,0
2,2020-04-01 06:29:51,2020-04-01 06:43:21,N,1,75,78,2,5.99,18,0,0.5,0,0,,0.3,18.8,2,1,0
2,2020-04-01 06:27:04,2020-04-01 06:30:46,N,1,74,75,1,1.45,6,0,0.5,3,0,,0.3,9.8,1,1,0
2,2020-04-01 06:35:03,2020-04-01 06:47:36,N,1,74,47,1,3.47,13,0,0.5,0,0,,0.3,13.8,2,1,0
2,2020-04-01 06:14:24,2020-04-01 06:23:28,N,1,74,24,6,1.63,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
2,2020-04-01 06:42:27,2020-04-01 06:51:39,N,1,24,143,6,2.53,10,0,0.5,1,0,,0.3,14.55,1,1,2.75
2,2020-04-01 06:15:58,2020-04-01 06:51:08,N,1,22,197,1,17.76,51.5,0,0.5,0,0,,0.3,52.3,1,1,0
2,2020-04-01 06:22:09,2020-04-01 06:31:21,N,1,166,74,1,2.09,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
2,2020-04-01 06:37:36,2020-04-01 06:41:20,N,1,74,74,1,.80,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2020-04-01 06:43:27,2020-04-01 06:52:11,N,1,74,140,1,3.68,13,0,0.5,0,0,,0.3,16.55,2,1,2.75
1,2020-04-01 06:39:03,2020-04-01 07:14:37,N,1,203,166,1,.00,46.2,0,0.5,0,6.12,,0.3,53.12,1,1,0
2,2020-04-01 05:55:57,2020-04-01 05:59:23,N,1,74,42,1,.92,5,0,0.5,0,0,,0.3,5.8,1,1,0
2,2020-04-01 06:01:49,2020-04-01 06:20:10,N,1,35,134,1,6.64,22,0,0.5,0,0,,0.3,22.8,1,1,0
2,2020-04-01 06:57:16,2020-04-01 07:01:50,N,1,74,75,1,1.49,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,2020-04-01 06:51:30,2020-04-01 06:54:12,N,1,116,152,1,.44,4,0,0.5,0,0,,0.3,4.8,2,1,0
2,2020-04-01 07:20:50,2020-04-01 07:28:49,N,1,41,238,1,1.45,8,0,0.5,0,0,,0.3,11.55,2,1,2.75
2,2020-04-01 06:40:58,2020-04-01 06:49:07,N,1,41,239,1,2.97,10.5,0,0.5,0,0,,0.3,14.05,1,1,2.75
2,2020-04-01 07:35:28,2020-04-01 07:50:35,N,1,159,159,1,3.28,13,0,0.5,0,0,,0.3,13.8,2,1,0
2,2020-04-01 07:43:50,2020-04-01 07:58:08,N,1,208,47,1,6.36,19,0,0.5,3.96,0,,0.3,25.71,1,1,0
2,2020-04-01 07:40:43,2020-04-01 07:49:21,N,1,127,244,1,2.21,10,0,0.5,2.7,0,,0.3,13.5,1,1,0
2,2020-04-01 07:31:19,2020-04-01 07:35:52,N,1,42,42,1,.33,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
2,2020-04-01 07:43:21,2020-04-01 07:53:29,N,1,42,168,1,1.91,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
2,2020-04-01 07:51:16,2020-04-01 08:00:33,N,1,42,74,1,1.81,9,0,0.5,0,0,,0.3,9.8,2,1,0
2,2020-04-01 07:26:49,2020-04-01 07:45:30,N,1,74,137,1,5.26,19.5,0,0.5,1,0,,0.3,24.05,1,1,2.75
2,2020-04-01 07:40:19,2020-04-01 07:48:06,N,1,166,74,1,1.39,7.5,0,0,0,0,,0.3,7.8,2,2,0
2,2020-04-01 07:49:18,2020-04-01 07:53:46,N,1,74,74,1,.30,4,0,0.5,0,0,,0.3,4.8,2,2,0
2,2020-04-01 07:57:42,2020-04-01 08:01:14,N,1,166,166,1,.73,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2020-04-01 07:55:44,2020-04-01 08:03:04,N,1,75,74,1,1.79,8,0,0.5,1.32,0,,0.3,10.12,1,1,0
2,2020-04-01 07:48:37,2020-04-01 07:53:44,N,1,75,74,1,1.36,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,2020-04-01 07:14:59,2020-04-01 07:22:13,N,1,75,151,1,1.95,8,0,0.5,0,0,,0.3,8.8,1,1,0
1,2020-04-01 07:17:16,2020-04-01 07:19:31,N,1,74,75,1,1.10,5,0,0.5,0,0,,0.3,5.8,2,1,0
1,2020-04-01 07:31:01,2020-04-01 07:38:06,N,1,74,166,1,1.80,8,0,0.5,2.6,0,,0.3,11.4,1,1,0
1,2020-04-01 07:45:22,2020-04-01 07:49:07,N,1,41,41,1,.60,5,0,0.5,0,0,,0.3,5.8,2,1,0
1,2020-04-01 07:51:00,2020-04-01 07:56:14,N,1,41,75,1,1.70,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,2020-04-01 07:50:42,2020-04-01 07:56:06,N,1,75,168,1,2.35,8.5,0,0.5,2.32,0,,0.3,11.62,1,1,0
1,2020-04-01 07:35:39,2020-04-01 07:39:18,N,1,41,41,1,.60,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
1,2020-04-01 07:42:34,2020-04-01 07:47:50,N,1,41,42,1,1.00,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-01 07:18:57,2020-04-01 07:31:24,N,1,116,48,1,5.36,17.5,0,0.5,2,0,,0.3,23.05,1,1,2.75
2,2020-04-01 08:00:36,2020-04-01 08:21:53,N,1,260,231,1,9.37,28,0,0.5,3,0,,0.3,34.55,1,1,2.75
